user_id,proficiency,language
8,full_professional,English
8,native_or_bilingual,Turkish
8,elementary,French
10,,English
11,native_or_bilingual,Turkish
11,professional_working,English
11,native_or_bilingual,Other
12,native_or_bilingual,Turkish
12,professional_working,English
13,full_professional,English
13,limited_working,German
14,professional_working,English
14,native_or_bilingual,Turkish
17,,Turkish
17,,English
18,,Turkish
20,professional_working,English
20,native_or_bilingual,Turkish
22,native_or_bilingual,Turkish
22,professional_working,English
26,limited_working,English
26,native_or_bilingual,Turkish
32,professional_working,English
32,native_or_bilingual,Turkish
38,professional_working,English
38,native_or_bilingual,Turkish
39,limited_working,English
44,limited_working,English
44,native_or_bilingual,Turkish
49,,English
50,limited_working,English
53,elementary,German
53,limited_working,English
56,native_or_bilingual,Turkish
56,professional_working,English
57,limited_working,English
57,elementary,Japanese
57,native_or_bilingual,Turkish
60,native_or_bilingual,Turkish
60,limited_working,English
63,full_professional,English
63,native_or_bilingual,Turkish
64,,Turkish
64,,English
66,native_or_bilingual,Turkish
66,limited_working,English
67,,Turkish
67,,English
70,native_or_bilingual,Turkish
70,limited_working,English
73,professional_working,English
73,elementary,Spanish
75,,English
80,,English
80,,Turkish
81,native_or_bilingual,Turkish
81,professional_working,English
83,professional_working,English
83,elementary,German
85,professional_working,English
85,elementary,Other
86,,Turkish
86,,English
92,professional_working,English
92,native_or_bilingual,Turkish
93,elementary,English
99,,Turkish
99,,English
100,,English
100,,German
102,native_or_bilingual,Turkish
102,limited_working,English
107,native_or_bilingual,Turkish
107,professional_working,English
110,professional_working,English
111,limited_working,English
111,native_or_bilingual,Turkish
114,limited_working,English
114,native_or_bilingual,Turkish
115,native_or_bilingual,Turkish
115,limited_working,English
119,limited_working,English
120,,Turkish
120,,German
120,,English
122,,English
125,native_or_bilingual,Turkish
125,professional_working,English
129,native_or_bilingual,Turkish
129,professional_working,English
129,professional_working,Other
129,elementary,German
130,native_or_bilingual,Turkish
130,professional_working,English
134,limited_working,English
