user_id,company_count,working_time
0,1,1
2,3,0.666666667
5,1,1
7,2,1
10,2,2.5
11,2,0.5
12,4,1.25
13,2,3.5
14,1,1
16,1,1
17,1,1
18,3,0.666666667
22,2,0.5
24,2,0.5
25,1,1
26,1,1
27,4,2.25
31,2,0.5
32,2,0.5
33,1,1
34,4,2.5
35,2,0.5
36,2,1
38,2,1
39,1,1
40,3,1.333333333
41,2,0.5
42,1,5
43,2,0.5
46,3,0.333333333
49,3,0.666666667
50,2,0.5
55,4,0.75
56,7,1
57,4,2.5
59,1,1
60,1,1
61,2,0.5
63,5,1.6
64,2,0.5
65,2,0.5
67,2,1.5
69,2,0.5
70,3,2
72,2,3
73,1,1
75,3,1
77,1,1
78,1,1
81,2,1
84,2,0.5
85,1,1
86,3,1.333333333
87,2,0.5
89,1,1
91,1,1
92,3,0.333333333
95,2,0.5
96,3,1.333333333
99,4,1
100,7,1.714285714
102,2,0.5
103,2,0.5
104,3,0.333333333
105,1,1
107,2,1.5
108,1,1
110,3,3
114,2,1
115,5,1.4
118,2,1
121,1,1
122,3,2
123,1,1
125,6,0.666666667
126,5,0.2
127,1,1
128,1,1
129,2,0.5
130,1,1
131,5,1.4
132,1,1
133,6,0.666666667
134,2,0.5
135,5,1.8
136,2,0.5
139,1,1
141,2,3.5
142,5,0.2
143,1,1
144,5,0.6
145,2,1
147,1,1
149,11,1.181818182
150,5,3.6
151,5,1.4
153,4,2.5
154,3,1
155,1,1
156,11,1.181818182
157,3,0.333333333
158,1,1
159,2,0.5
160,5,3.6
161,5,3.6
164,3,1.666666667
165,1,1
166,1,1
167,3,3
169,3,0.333333333
170,1,1
172,11,1.181818182
173,1,1
175,6,0.833333333
176,1,1
179,1,1
188,5,1.8
189,2,0.5
192,3,1.333333333
193,1,1
194,2,2.5
195,2,1
196,3,0.333333333
197,3,1.666666667
199,1,1
201,3,0.333333333
202,1,1
205,1,1
206,3,3.333333333
207,2,3
209,6,0.833333333
210,1,1
212,3,0.333333333
214,2,3
215,2,0.5
216,2,1
219,2,1
220,1,1
221,4,1
222,2,0.5
223,4,1.5
224,2,0.5
226,2,0.5
227,1,1
228,3,1
230,1,2
231,1,1
233,2,0.5
234,1,1
235,2,4
236,4,1.25
237,3,1
238,3,1.333333333
239,2,0.5
241,1,1
243,5,1.2
244,3,0.666666667
245,1,1
246,1,1
249,2,0.5
250,2,2
251,2,1.5
252,1,1
253,2,0.5
255,1,1
256,3,2.666666667
257,4,0.75
258,1,1
259,2,2.5
260,1,1
261,2,2
262,2,0.5
263,3,0.666666667
264,1,1
266,1,1
268,1,1
269,1,1
272,1,1
273,2,0.5
274,1,1
276,2,1.5
279,3,1.666666667
280,1,1
281,4,2.5
282,1,1
283,2,1.5
285,1,1
286,1,1
287,1,1
288,2,3
290,2,4.5
291,3,0.333333333
292,2,0.5
294,6,0.833333333
298,4,1
300,4,1.25
301,1,1
302,3,1.666666667
304,3,2.333333333
306,4,0.75
307,1,1
308,3,2
309,1,1
310,3,0.666666667
311,4,1
312,1,1
313,1,1
314,2,0.5
317,1,1
318,1,1
319,1,1
320,1,1
321,3,0.666666667
322,5,0.6
324,1,1
325,2,1.5
326,1,1
327,2,2.5
328,1,1
330,1,1
331,1,1
334,5,0.2
337,1,1
338,2,0.5
339,1,1
340,1,1
341,3,0.666666667
343,1,1
344,1,1
345,1,1
346,3,0.666666667
347,2,0.5
348,2,1.5
349,1,1
350,1,1
351,3,1.666666667
352,2,0.5
353,1,1
355,1,1
356,4,1
357,2,0.5
358,3,0.333333333
361,4,0.75
362,2,0.5
363,2,0.5
364,1,1
365,1,1
367,1,1
368,1,1
369,2,0.5
370,2,0.5
371,1,1
372,3,2
373,1,1
376,2,0.5
377,2,0.5
378,7,1.285714286
379,1,1
380,3,2.333333333
